f,a1,a2,t1,t2
0.134,0.0143,0.0046,0.4837,0.1604
0.135,0.0143,0.0046,0.4837,0.1608
0.136,0.0143,0.0045,0.4837,0.161
0.137,0.0142,0.0045,0.4837,0.1612
0.138,0.0142,0.0045,0.4837,0.1616
0.139,0.0142,0.0046,0.4837,0.162
0.14,0.0142,0.0047,0.4837,0.1624
0.141,0.0142,0.0048,0.4837,0.1406
0.142,0.0141,0.0049,0.4837,0.1406
0.143,0.0141,0.005,0.4837,0.1408
0.144,0.014,0.0051,0.4837,0.141
0.145,0.014,0.0052,0.4837,0.1833
0.146,0.0139,0.0053,0.4837,0.1829
0.147,0.0139,0.0054,0.4837,0.1825
0.148,0.0138,0.0054,0.4837,0.1822
0.149,0.0138,0.0054,0.4837,0.182
0.15,0.0137,0.0054,0.4837,0.1816
0.151,0.0136,0.0054,0.4837,0.1814
0.152,0.0135,0.0054,0.4837,0.1812
0.153,0.0134,0.0054,0.4832,0.1808
0.154,0.0134,0.0055,0.4832,0.1806
0.155,0.0133,0.0055,0.4832,0.1804
0.156,0.0133,0.0055,0.4832,0.1802
0.157,0.0133,0.0056,0.4832,0.18
0.158,0.0133,0.0056,0.4832,0.1798
0.159,0.0134,0.0056,0.4832,0.1794
0.16,0.0135,0.0056,0.4832,0.1792
0.161,0.0136,0.0056,0.4832,0.1898
0.162,0.0136,0.0056,0.4826,0.1788
0.163,0.0137,0.0055,0.4826,0.1822
0.164,0.0137,0.0055,0.4826,0.182
0.165,0.0138,0.0055,0.4826,0.1818
0.166,0.0138,0.0055,0.4826,0.1816
0.167,0.0138,0.0056,0.4826,0.1812
0.168,0.0138,0.0056,0.4826,0.181
0.169,0.0138,0.0056,0.4821,0.1808
0.17,0.014,0.0055,0.4821,0.1806
0.171,0.0141,0.0055,0.4821,0.1804
0.172,0.0142,0.0055,0.4821,0.18
0.173,0.0143,0.0055,0.4821,0.1798
0.174,0.0144,0.0056,0.4821,0.1796
0.175,0.0144,0.0056,0.4821,0.1792
0.176,0.0145,0.0057,0.4821,0.179
0.177,0.0146,0.0058,0.4821,0.1786
0.178,0.0146,0.0058,0.4816,0.1782
